ID	tat_toxic	tat_detox1
523	Чуркалар сыман кыланмагыз.Живите тише.	Булаемрак булыгыз, тынычрак яшәгез.
524	башта бер эйбер яза башлагансын бетергэнсен башка эйбер бн вот синен баш киткэн тучныы)))	Башта бер әйбер яза башлагансың, тәмамлагансың икенче юнәлештә, менә синең уйлар таралган, төгәл фикерең юк кебек)
525	Нигэ эгэр синен хатынын корсакка узса, аны мактыйлар , корсагын сыпыралар, котлыйлар Лэкин берсе дэ синен кукэенне сыпырмый, хэм\"Вэт молодец!!\" дими?	Нигә, әгәр синең хатының корсакка узса, аны шатланып котлыйлар, игътибар бирәләр. Ләкин берсе дә сиңа Булдырдың! Молодец! дип әйтми.
526	Хм... Уфада мондый юл кургэнем юк эле, кергэндэ дэ чыкканда да Уфа эченнэн. Башкирияны мыскыл итеп утырманыз!	Хм... Уфада мондый юлларны күргәнем юк әле, кергәндә дә, чыкканда да, Уфа эчендә шундый хәрәкәтне күрмәдем. Башкортостанны хөрмәт итегез, мыскыл итмәгез.
527	Юк суз сойлэмэгез, нинди урыслар белэн таскаться иту ул!!! Узен ихтирам иткэн татар кызлары вупчем таскаться итеп йормилэр :)	Юк-бар сүз сөйләмәгез, нинди урыслар белән аралашырга тиеш инде ул! Үзен хөрмәт иткән татар кызлары болай эшләмиләр.
528	вот шул Билет тикшеручелэр нигэ сез шулхэтле психланып йорисез, билет алганга без гаепле чтоли?	Вәт шул! Билет тикшерүчеләр, нигә сез шулкадәр ачуланып йөрисез? Билет алганга без гаеплемени?!
529	авызынны яп,пычрааак!)))	Авызынны яп, пычранган кеше кебек булма!
530	Нерьсе таптыгыз инде? Шул бока оякларын ошай торган кызларда!	Нәрсә таптыгыз инде? Шул аякларын гына матур дип уйлый торган кызларда!
531	шул кыз минем алдымда торса ДУРААААА!!! дип кычкырыр идем	Шул кыз минем алдымда торса, аңгыра дип кычкырыр идем!
532	Танзиля, Башынны эшлэт эзрэк,гел бер балык башын чэйнисен,ник кирэк сина кеше тормышы	Танзиля, башыңны эшләт әзрәк, гел бертөрле уйда йөрисең, ник кирәк сиңа кеше тормышы?
533	азрак кына вежливыйрак булыгыз зинхар!!!!!! а то террористлар кергэн кебек!!	Азрак кына вежливыйрак булыгыз, зинһар! Ә югыйсә артык шау-шулы вазгыять кебек!
534	Татар кызлары качан да урыска чыкмагыз!!!	Татар кызлары, беркайчан да урыска чыкмагыз, зинаһар!
535	Ник сез гел русча язасыс???Бөтен постлар русча.Сез татарлар түгел, сез урысларга өйләгенсез!	Ник сез гел русча язасыз? Бөтен постлар русча. Сез татар булырга омтылмыйсызмы?
536	болай, тегелэй, син миннэн подкаблучник ясарга телисен бугай??	Болай, тегеләй, син миннән артык йомшак кеше ясарга телисең бугай?
537	Нинди кочле мэхэббэт кешедэ. Фу таким быть!	Нинди көчле мәхәббәт кешедә. Үзеңә андый булырга кирәкми бит!
538	тока хайван кеше шулай может эшляргя!	Тик адәм баласы шулай эшли аладыр!
539	Син узенне \"фошисткий\" илдэ яшим диясен что ли?	Син үзеңне ялгыш юлда илдә яшим диясеңме әллә?
540	Сөрт борныңны, егет, элгәре!”	Сөрт борныңны, егет, башта!
541	Кешелэр  хайваннар утырмый дип уйлыйм монда	Кешеләр монда аңлап эш итә дип уйлыйм.
542	бердэ быкылтамыйсын эле син ильшат)))	Бераз шаярып та карамыйсың әле син, Ильшат?))
543	Дөрес ! Мин кайчан күрәм татар кызны рус малае белән - үтергем кели икәсен дә!	Дөрес! Мин кайчан татар кызны рус малае белән күрәм, чыгырдан чыгам!
544	татарча тэркем булса яза башларлар, эмма урусча монда кубрэк язалар. Эби эткэненчэ: Урусларга сатылганнар!	Татарча яза башларлар, әмма күбрәк русча язып баралар. Әби әйтмешли: күңелләрен биргәннәр!
545	бер кыз минем егетемне ярата, бэреп утерэсем килэ ул дураны!	Бер кыз минем егетемне ярата, күңелдә рәнҗешем зур ул кызга!
546	Ә Татар илендә,татарга ничек кирәк икәнен сорамыйлар---ялагайлар!	Ә илендә, татарга ничек кирәк икәнен сорамыйлар---үз мәнфәгатьләрен эзлиләр!
547	Эх,тотып сек....... шул кешене.Актанышка тел- теш тидерерлек кеше тумаган эле ул!!!	Эх, кулга төшсә ул кешене. Актанышка тел тидерерлек кеше юк ул!
548	ну син бит \"!\" куеп язып утырасын,бу ужы грубить итеп киту була бит инде Айнур))	Ну син бит ! куеп язып утырасың, бу инде артык турыдан-туры китү була, Айнур.
549	Сина уч итеп куйгандыр бэлкем?! Фигня белэн башынны катырма эле	Сина үч итеп куйгандыр бәлкем?! Вак-төяк белән башыңны катырма әле, үч куйгандыр бәлкем?!
550	Пилэт тизрэк чыгып китэсе иде инде!!	Пиләт тизрәк чыгып китәсе иде инде!
551	татарча языгыз,яптырныйлар!!	Татарча языгыз, җүнле булыгыз!
552	су збс,вообще шэп,киттек керергэ:)	Су, бик яхшы, киттек керергә :)
553	Узебезнен халкыбыз томана булгач -нишлэтэсен?! Мэгэнэсезлэр! Маржаны яратам дип, барып атылып бэрелергэ тиеш что ли??!	Үзебезнең халкыбыз аңгыра булгач, нишләтәсең?! Аңламыйлар! Марҗаны яратам дип, барып бәрелергә тиешме ни?!
554	бер килеп чэпелгэч анларсын узеннен \"секмим дэ\" булганынны!	Бер килеп килеп бәрелгәч, аңларсың үзеңнең яратмыйм икәнлегеңне!
555	Кутегезгэ хэтле подделкага баттыгыз	Бөтен җирегезгә кадәр ялганга баттыгыз!
556	Нигә сез үз-үзегез белән аралашасыз, сез ебанутый мы?	Нигә сез үз-үзегез белән аралашасыз, үзегез дә сизмисезме?
557	Как чишмэ,кутак  суы ага ич	Күз чишмәсе кебек, суы ага ич.
558	Альмир, аларга что сидек что су адинаково	Альмир, аларга нәрсә генә әйтсәң дә, барыбер икән.
559	Гульнара, эх блин куп вакыт узган чтоли	Гульнара, эх вакыт күп узган ахрысы, шулай түгелме?
560	Хуйня, главное тазалык!	Болар барысы да, иң мөһиме — тазалык!
561	Матвей, инет ничек дип сорамвдым мин синён блин	Матвей, ничек дип сорадым синнән, ләкин җавап юк!
562	Матвей, и кутак баш, заебал инде бессмысленным базаром блят	Матвей, бераз тынып торсаң иде, мәгънәсез сөйләшү белән барыбызны да аргандырдың.
563	Икенче кызларга бэйлэнеп, аларны сугеп ятасыз.	Икенче кызларга бәйләнеп, аларга начар сүзләр әйтәсез.
564	Ну сез ваще инде кызлар..)	Ну сез, кызлар, бөтенләй икенче төрле инде.)
565	Кызлар армияга китсэлэр э егетлэре котер иде микэн ? Минемчэ фиг котэлэр!	Кызлар армияга китсәләр, егетләре көтәр микән? Минемчә, икеле...
566	Лоханутся иту белэн начар эйбергэ юлыгу бер тугел бит ул!!!	Лоханырга мөмкин, ләкин начар әйбер белән очрашу белән чагыштыру гөнаһ бит ул!
567	Эткэй блэн Энкэй ойлэн дип башны катыралар,кияугэ чыгарга телэгэн кызлар юкмы монда?)анон	Әти-әни гел өйлән дип башны катыралар, кияүгә чыгарга теләгән кызлар бармы монда, анон?
568	Купчелек кызлар шулай итеп дус егетлэре белэн йорилэр и в конце узенен егетенэ могез куяларда инде!)	Күпчелек кызлар дус егетләре белән йөри, ләкин кайчак ахырда үз егетләренә хыянәт итәләр бит, кызганычка каршы.
569	Эй, эй аноним, минем фотоларга бэйлэнмэ яме!узен син \" нэстэ\"!!!	эй аноним, минем фотоларга бәйләнмә яме! үзең син җан тынычлыгы эзләүче!
570	без не обсираем,а уз мнениебезне эйтэбез	без беркемне хурламыйбыз, ә үз фикеребезне әйтәбез.
571	Заебали инде сезгэ барыбер тугелме?!   Сезне селкетэме сон ул кулмэк?!	Туйдырдыгыз инде! Сезгә барыбер түгелме?! Сезгә шул күлмәк чынлап күңел күтәрәме?!
572	Синен аягын сызлаганга буген кон импотент ку..гы шикелле булгандыр инде!!!	Синең аягың сызлаганга күрә бүген көн бертөрле сәер булгандыр инде!
573	Маржаларга ойлэнеп, татар ирлэре шулай харап була да инде. Кутенэ кара, таман!	Марҗаларга өйләнеп, татар ирләре шулай үз юлын югалта инде. Үзеңне яхшы кара, җиткән!
574	Азат инде!что то ул cъебался моннан!	Азат инде! нәрсәдер ул моннан югалып китте!
575	Мондый тинтәк сүзләр язып \"дәрәҗәгезне\" төшермәгез инде,тилеләр!!!	Мондый уйланмаган сүзләр язып дәрәҗәгезне төшермәгез инде, акыллы булыгыз!
576	ботенне чокыган кулларын бн ашыйсын бит эле, хули сегенеп утырасын нахуй, аноним!	Бөтенне чокыган кулларың белән ашыйсың бит әле, ни өчен тыныч кына утыра алмыйсың, аноним?!
577	Сезнен ни эшегез бар инде анда? Чишенгэнме юкмы анын эше... эй богу как эбилэр сез	Сезнең ни эше бар инде анда? Чишенгәнме, юкмы — ул аның шәхси эше... Сез, гафу итегез, әбиләрдән аерыла алмыйсызмыни?
578	нэрсэдер сорау стыдно тугел, э синен кебек бака боты кыстырып утыруы постыдно!	Нәрсәдер сорау оят түгел, ә синең кебек үзеңне җайсыз итеп тоту һич тә килешми!
579	Кукмарабызны букка батырды дисэн дэ була,э безнекелэр шунын белэн килешеп хаман анын авызына карап торалар	Кукмарабызны бик начар хәлгә җиткерде дисәң дә була, ә безнекеләр шуның белән килешеп, һаман аның сүзләренә колак салып торалар.
580	эйййй  заебал бит э,кон саен чэч юып..))))	Әй, ул бераз үртәлдерә башлады, көн саен чәч юып йөреп..))))
581	Базардагы эбилэрдэн дэ хуже сез,кешелэрне чэйнэп утырасыз!	Базардагы апалардан да уздыгыз, кешеләр турында гайбәт сатып утырасыз!
582	Бэтээщ син икэн йорергэ инде!!!;-) че за тупизм...	Бә-әй, син икән йөрергә инде!!! ;-) нәрсәгә бу мәгънәсезлек...
583	кит моннан нах.й, юкса артык сүз әйтеп ташлармын	Кит моннан, югыйсә артык сүз әйтеп ташлармын.
584	а то сразу бэйлэнэ башлыйлар- выпендриваешься,футболистлары ошаган очен генэ карыйсын дип.не надо так)	Ә аннары шунда ук бәйләнә башлыйлар – үзеңне тәкәббер итеп күрсәтәсең, футболистлары ошаган өчен генә карыйсың, диләр. Кирәкми шулкадәр!
585	Узегезне белегездэ утырыгыз   ул сезне ебет ме эллэ?	Үзегезне белеп, тыныч кына утырыгыз, ул сезгә игътибар итәме әллә?
586	Күпме кутакбашларны алдадың!	Күпме кешене алдадың!
587	Тагын татарлар бук атышалар!	Тагын татарлар әрепләшеп маташалар!
588	Леся, конь в польто, йоммасаң белмәйткән нәрсәң лырчыма!	Леся, күңелгә тия торган сүзләрдән баш тарт инде, уйлап сөйләшсәң иде!
589	- Кире кэжэ син , Гата !	Кире тискәре кеше син, Гата!
590	Вот алар мина узлэре букка чебен кебек ябеште бик.	Вот алар мина узлэре чебен кебек ябеште бик тә кирәкмәс урынга.
591	Вахаах причем тут матурлык, курочка. Шэп матур дигэн суз ме эллэ?	Вахаах, матурлык турында сүз бара, шәп дигән сүз булдымы, әллә?
592	бу баш катыра торган нэстэне полюбак лейсан язган инде:)	Бу баш катыра торган нәрсәне, мөгаен, Ләйсән язган инде :)
593	Черножопыйлар өчен ясалган, алмыйм аны, булмыйм хур!	Башкалар өчен ясалган, алмыйм аны, үземне уңайсызлама!
594	Кызлар, йори торган егетегез ебаться кушса, нишлэр идегез?	Кызлар, йөри торган егетегез берәр сорау бирсә, нишләр идегез?
595	Заебали инде шул \" кайда укырга кереп була?\" дигэн соравгыз белэн!  не анон.	Бик арыттыгыз шул кайда укырга керергә була? дигән соравыгыз белән! Әле дә сорап туктамыйсыз.
596	Зобэржэт, син кайда проебался, бу араларда куренмэден?	Зөбәрҗәт, син кайда йөрисең, бу араларда күренмәдең?
597	заебали инде шул ватс апыгыз белэн))	АРЫТЫП бетердегез шул ватсап хәбәрләрегез белән))
598	хэзер мин уйлыйм, ул миннэн заебался дип	Хәзер мин уйлыйм, ул миннән арыды дип.
599	да вот туалетта утырам усырып..)	да вот туалетта утырам җиңелсенеп..)
